nCreditCardAuditID,nCreditCardIDBefore,cCardNumberBefore,nIBANIDBefore,nCardHolderIDBefore,cExpiryDateBefore,cCCVBefore,nTotalAmountSpentBefore,nUserIDBefore,nCreditCardIDAfter,cCardNumberAfter,nIBANIDAfter,nCardHolderIDAfter,cExpiryDateAfter,cCCVAfter,nTotalAmountSpentAfter,nUserIDAfter,cTypeOfStatement,cTimeOfQuery,cDBMSUserID,cDBMSUser,cHostID,cHost
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1122334455667788,1,1,04/20,444,"0,00",1,Insert,2019-12-14 21:23:49.8100000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1133445566778899,1,1,05/20,555,"0,00",1,Insert,2019-12-14 21:23:49.8100000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1144556677889900,1,1,06/20,666,"0,00",1,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1155667788990011,2,2,07/20,777,"0,00",2,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1166778899001122,3,3,08/20,888,"0,00",3,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1177889900112233,4,4,09/20,999,"0,00",4,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1188990011223344,4,4,10/20,111,"0,00",4,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,1199001122334455,5,5,11/20,222,"0,00",5,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2211223344556677,5,5,12/20,333,"0,00",5,Insert,2019-12-14 21:23:49.8133333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,2222334455667788,6,6,01/21,456,"0,00",6,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,2244556677889900,6,6,02/21,467,"0,00",6,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,2255667788990011,7,7,03/21,478,"0,00",7,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,2266778899001122,8,8,04/21,489,"0,00",8,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,2277889900112233,NULL,9,05/21,512,"0,00",9,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,2288990011223344,NULL,9,06/21,522,"0,00",9,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,2299001122334455,NULL,9,07/21,533,"0,00",9,Insert,2019-12-14 21:23:49.8166667,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,3311223344556677,NULL,10,08/21,544,"0,00",10,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,3322334455667788,NULL,11,09/21,556,"0,00",11,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,3333445566778899,NULL,11,10/21,567,"0,00",11,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
