nUserAuditID,nUserIDBefore,cFirstNameBefore,cSurnameBefore,cAddressBefore,cZipCodeBefore,cPhoneNumberBefore,cEmailBefore,nTotalSpentBefore,nUserIDAfter,cFirstNameAfter,cSurnameAfter,cAddressAfter,cZipCodeAfter,cPhoneNumberAfter,cEmailAfter,nTotalSpentAfter,cTypeOfStatement,cTimeOfQuery,cDBMSUserID,cDBMSUser,cHostID,cHost
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Jens,Olesen,Vandværksvej 3,4200,76313244,jens@olesen.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,Bibi,Albert,Nordre Fasanvej 32,2000,89785544,bibi@albert.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"0,00",Insert,2019-12-14 21:23:49.7400000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,David,Lorenzen,Dyrlundsvej 12,4600,60778855,d@l.dk,"0,00",Insert,2019-12-14 21:23:49.7433333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Jytte,Jensen,Nørre Alle 2,8660,54667788,jytte@jensen.dk,"0,00",Insert,2019-12-14 21:23:49.7433333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,Ole,Skam,Fuglevænget 7,4700,76564433,ole@skam.dk,"0,00",Insert,2019-12-14 21:23:49.7433333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
16,1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"0,00",1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"45,00",Update,2019-12-14 21:25:55.8700000,1,sa,"19052     ",DESKTOP-JIGR9V8
17,1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"45,00",1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"114,50",Update,2019-12-14 21:27:20.4500000,1,sa,"19052     ",DESKTOP-JIGR9V8
18,1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"114,50",1,John,Doe,Rentemestervej 1,2400,88331212,a@a.dk,"157,50",Update,2019-12-14 21:27:46.1966667,1,sa,"19052     ",DESKTOP-JIGR9V8
19,2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"0,00",2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"28,50",Update,2019-12-14 21:29:25.7333333,1,sa,"19052     ",DESKTOP-JIGR9V8
20,2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"28,50",2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"62,50",Update,2019-12-14 21:30:17.5400000,1,sa,"19052     ",DESKTOP-JIGR9V8
21,2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"62,50",2,Jakob,Jensen,Hvidovrevej 280,2650,76567777,jako@jens.dk,"107,00",Update,2019-12-14 21:30:49.3133333,1,sa,"19052     ",DESKTOP-JIGR9V8
22,3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"0,00",3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"28,00",Update,2019-12-14 21:31:48.3600000,1,sa,"19052     ",DESKTOP-JIGR9V8
23,3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"28,00",3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"51,50",Update,2019-12-14 21:32:08.8366667,1,sa,"19052     ",DESKTOP-JIGR9V8
24,3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"51,50",3,Mehmet,Deniz,Egevolden 188,2650,76567777,me@me.dk,"79,00",Update,2019-12-14 21:32:24.3000000,1,sa,"19052     ",DESKTOP-JIGR9V8
25,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"0,00",4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"4,00",Update,2019-12-14 21:33:43.7400000,1,sa,"19052     ",DESKTOP-JIGR9V8
26,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"4,00",4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"26,10",Update,2019-12-14 21:34:02.0866667,1,sa,"19052     ",DESKTOP-JIGR9V8
27,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"26,10",4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"36,10",Update,2019-12-14 21:34:19.4300000,1,sa,"19052     ",DESKTOP-JIGR9V8
28,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"36,10",4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"48,45",Update,2019-12-14 21:35:02.0600000,1,sa,"19052     ",DESKTOP-JIGR9V8
29,4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"48,45",4,Mia,Olsen,Bymuren 22,2650,55662121,mia@olsen.dk,"53,95",Update,2019-12-14 21:35:21.5866667,1,sa,"19052     ",DESKTOP-JIGR9V8
30,5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"0,00",5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"13,50",Update,2019-12-14 21:37:29.1400000,1,sa,"19052     ",DESKTOP-JIGR9V8
31,5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"13,50",5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"45,85",Update,2019-12-14 21:37:48.6800000,1,sa,"19052     ",DESKTOP-JIGR9V8
32,5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"45,85",5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"64,55",Update,2019-12-14 21:38:06.8900000,1,sa,"19052     ",DESKTOP-JIGR9V8
33,5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"64,55",5,Jakob,Fisker,Lygten 37,2400,90897867,j@j.dk,"83,25",Update,2019-12-14 21:39:00.8900000,1,sa,"19052     ",DESKTOP-JIGR9V8
34,6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"0,00",6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"35,00",Update,2019-12-14 21:40:13.3300000,1,sa,"19052     ",DESKTOP-JIGR9V8
35,6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"35,00",6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"88,50",Update,2019-12-14 21:40:28.2600000,1,sa,"19052     ",DESKTOP-JIGR9V8
36,6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"88,50",6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"133,50",Update,2019-12-14 21:41:56.9266667,1,sa,"19052     ",DESKTOP-JIGR9V8
37,6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"133,50",6,Mette,Mortensen,Valbyvej 65,4200,76567777,me@Mortensen.dk,"166,00",Update,2019-12-14 21:42:11.3133333,1,sa,"19052     ",DESKTOP-JIGR9V8
